customer_id,gender,region,branch,marital_status,employment_status,account_type,account_open_date,last_transaction_date,months_active,account_balance_ksh,monthly_income_ksh,credit_score,num_transactions_30d,num_products_held,loan_type,loan_amount_ksh,loan_outstanding_ksh,monthly_repayment_ksh,churn_label,days_since_last_txn,account_age_months,loan_to_income_ratio,repayment_burden,balance_to_income_ratio,has_loan
CUS00018,Male,Mombasa,Town Centre,Single,Employed,Current,2022-04-22,2024-02-02,19,111589.17,41337.14,634.0,19,3,Auto,380368.08,331031.75,12599.25,0,334,32.35873850197109,96.0971416987242,0.30479249411062304,2.699489369608057,1
CUS00019,Male,Eldoret,CBD Branch,Married,Retired,Joint,2023-11-01,2024-08-10,18,84830.56,40672.11,561.0,21,3,No Loan,0.0,0.0,0.0,0,144,14.027595269382392,0.0,0.0,2.0857181985394906,0
CUS00020,Male,Mombasa,Airport Road,Single,Employed,Current,2024-05-17,2024-05-17,24,51633.45,14895.44,771.0,15,2,Personal,500561.93,469989.18,32245.46,0,229,7.522996057818659,378.6306520653301,2.16478734431477,3.4663930706310118,1
CUS00021,Female,Nairobi,Westlands,Married,Employed,Savings,2021-02-24,2023-04-06,22,141955.63,38639.42,623.0,24,5,Auto,401688.36,366613.2,22900.25,0,636,46.222076215505915,113.85674008564311,0.5926654696162624,3.6738550940982035,1
CUS00022,Female,Mombasa,Market Branch,Divorced,Business Owner,Fixed Deposit,2024-02-24,2024-02-24,20,22535.18,164218.89,681.0,23,3,Business,440655.31,126609.31,2780.73,1,312,10.249671484888305,9.251747591278932,0.016933070245451053,0.13722647863470516,1
CUS00023,Female,Thika,Town Centre,Divorced,Retired,Fixed Deposit,2022-02-12,2022-02-12,11,51827.33,36095.02,571.0,17,2,No Loan,0.0,0.0,0.0,0,1054,34.62549277266754,0.0,0.0,1.4358581876391814,0
CUS00024,Male,Thika,Market Branch,Widowed,Employed,Savings,2024-08-23,2024-08-23,9,68441.58,242266.33,649.0,17,1,Personal,510608.32,133982.5,4926.23,1,131,4.303547963206308,6.636456663210278,0.020333944052398863,0.28250553842954573,1
CUS00025,Male,Eldoret,Market Branch,Single,Self-Employed,Joint,2024-12-07,2024-12-07,15,91340.2,233960.64,644.0,27,1,Business,884488.4,244515.86,13184.36,0,25,0.8212877792378449,12.541384396965231,0.05635289764979272,0.3904084037383382,1
CUS00026,Female,Eldoret,Main Branch,Single,Employed,Savings,2024-01-22,2024-03-19,16,230690.4,12522.82,468.0,16,4,Auto,0.0,0.0,0.0,0,288,11.333771353482259,0.0,0.0,18.421601524257316,0
CUS00027,Female,Eldoret,Westlands,Single,Business Owner,Savings,2023-05-10,2023-07-07,13,33410.38,15614.19,781.0,23,5,Mortgage,911452.92,854964.82,33577.96,0,544,19.776609724047304,657.0675673858201,2.150477226164149,2.1397446809600753,1
CUS00028,Male,Nairobi,Town Centre,Widowed,Unemployed,Fixed Deposit,2022-03-28,2022-03-28,6,108304.37,158831.85,723.0,22,5,Personal,0.0,0.0,0.0,0,1010,33.18002628120893,0.0,0.0,0.6818806807324853,0
CUS00029,Male,Nyeri,CBD Branch,Widowed,Employed,Business,2023-07-09,2023-10-18,25,134625.71,39906.62,588.0,22,2,Mortgage,0.0,0.0,0.0,0,441,17.805519053876477,0.0,0.0,3.373518228303975,0
CUS00030,Male,Mombasa,Westlands,Widowed,Employed,Fixed Deposit,2024-04-21,2024-04-21,47,7134.58,350.69,531.0,26,4,No Loan,571981.44,347655.13,6011.0,1,255,8.377135348226018,11896.152043115002,17.1404944537911,20.344406740996323,1
CUS00031,Female,Nairobi,Town Centre,Single,Unemployed,Savings,2022-07-24,2022-10-10,15,140299.95,25602.3,647.0,22,5,No Loan,0.0,0.0,0.0,0,814,29.303547963206306,0.0,0.0,5.479974455420021,0
CUS00032,Male,Nairobi,Market Branch,Married,Employed,Fixed Deposit,2021-01-14,2021-09-01,18,28044.19,54046.36,626.0,22,4,No Loan,119043.92,79584.17,1754.84,0,1218,47.56898817345598,17.67020091639844,0.03246916166047075,0.5188913739981749,1
CUS00033,Female,Mombasa,Westlands,Single,Employed,Business,2021-11-23,2023-10-16,43,10089.59,128461.96,648.0,21,2,No Loan,147854.18,140850.48,3107.79,0,443,37.286465177398156,13.157247172626047,0.024192297860004625,0.07854146083400876,1
CUS00034,Male,Nakuru,Main Branch,Single,Unemployed,Savings,2024-11-30,2024-11-30,33,446053.17,11453.17,635.0,17,4,No Loan,80676.59,20429.68,375.67,0,32,1.0512483574244416,21.405092214644505,0.0328005259679198,38.945826352005604,1
CUS00035,Male,Mombasa,Industrial Area,Single,Retired,Fixed Deposit,2023-05-16,2023-05-16,14,505594.55,9371.38,660.0,25,3,No Loan,0.0,0.0,0.0,1,596,19.579500657030223,0.0,0.0,53.95091758097527,0
CUS00036,Male,Thika,Airport Road,Married,Self-Employed,Joint,2022-11-28,2022-11-28,34,247849.74,204178.8,735.0,22,3,Education,260910.85,33931.85,1285.08,1,765,25.131406044678055,1.994243280889103,0.006293895350545698,1.213885770706851,1
CUS00037,Female,Nairobi,Market Branch,Single,Employed,Savings,2022-07-24,2023-04-07,2,54493.18,111271.87,665.0,19,3,No Loan,0.0,0.0,0.0,1,635,29.303547963206306,0.0,0.0,0.48973006385171747,0
CUS00038,Female,Kisumu,Airport Road,Single,Self-Employed,Business,2021-11-15,2023-04-25,20,15416.6,71284.86,536.0,20,3,No Loan,1039520.78,419826.71,18270.93,0,617,37.54927726675427,70.6730786873959,0.2563087028578018,0.2162675216027639,1
CUS00039,Female,Nakuru,Town Centre,Divorced,Retired,Fixed Deposit,2022-03-17,2022-03-17,42,172912.61,117291.72,729.0,20,1,No Loan,407851.69,198924.65,3566.43,1,1021,33.54139290407359,20.351784422634434,0.030406494166851674,1.4742098589738473,1
CUS00040,Male,Nyeri,Westlands,Single,Self-Employed,Savings,2022-11-21,2024-02-16,16,87013.63,44808.88,751.0,35,1,No Loan,0.0,0.0,0.0,0,320,25.36136662286465,0.0,0.0,1.9418836177114895,0
CUS00041,Male,Nakuru,Main Branch,Single,Employed,Fixed Deposit,2021-07-29,2024-01-30,3,19522.84,113656.21,850.0,21,5,Personal,210784.27,164842.07,6242.6,0,337,41.13009198423127,17.404282968788067,0.054925287408404695,0.1717709925396949,1
CUS00042,Female,Kisumu,Airport Road,Widowed,Employed,Current,2021-07-09,2021-07-09,46,102532.08,37192.12,530.0,23,1,Auto,171422.1,77637.42,1576.3,0,1272,41.78712220762155,25.049635245315404,0.042382633740695605,2.756822681793885,1
CUS00043,Male,Nyeri,Airport Road,Single,Business Owner,Savings,2023-02-18,2023-02-18,30,5249.06,22387.12,639.0,23,4,No Loan,0.0,0.0,0.0,0,683,22.437582128777922,0.0,0.0,0.23446785473075593,0
CUS00044,Male,Nakuru,Airport Road,Single,Business Owner,Savings,2021-07-18,2024-05-22,23,360063.43,54046.36,453.0,18,4,No Loan,205521.58,173499.46,2979.18,0,224,41.49145860709592,38.52236339320538,0.05512267616172486,6.662121741408672,1
CUS00045,Male,Mombasa,Westlands,Single,Retired,Current,2023-01-06,2024-06-21,39,44918.67,43532.99,664.0,15,1,Mortgage,396977.15,343312.59,5800.82,0,194,23.850197109067015,94.63515095103737,0.13325112747826418,1.0318305726300905,1
CUS00046,Male,Kisumu,CBD Branch,Widowed,Self-Employed,Fixed Deposit,2022-12-06,2024-07-29,23,162938.37,318669.08,576.0,21,4,No Loan,0.0,0.0,0.0,0,156,24.868593955321945,0.0,0.0,0.5113090043125614,0
CUS00047,Female,Nyeri,Westlands,Married,Employed,Joint,2024-05-21,2024-05-21,3,56031.99,34399.3,773.0,23,5,No Loan,561136.94,215030.28,12319.53,0,225,7.391590013140604,75.01208919948951,0.358133159686389,1.6288700642164229,1
CUS00048,Female,Kisumu,Westlands,Single,Retired,Joint,2022-06-26,2023-11-08,13,110116.63,203804.63,558.0,18,2,No Loan,0.0,0.0,0.0,0,420,30.223390275952692,0.0,0.0,0.540304849796592,0
CUS00049,Female,Kisumu,CBD Branch,Widowed,Self-Employed,Joint,2021-03-30,2024-02-26,46,118683.57,216200.31,484.0,24,1,No Loan,376173.73,64501.54,1755.62,0,310,45.105124835742444,3.5800988444466153,0.008120339882953914,0.5489518955823884,1
CUS00050,Female,Mombasa,Town Centre,Single,Employed,Current,2023-07-30,2023-07-30,40,30658.29,54046.36,582.0,14,3,No Loan,916685.14,360497.53,6818.63,0,521,17.115637319316686,80.04184481619114,0.12616261298633247,0.5672591086615268,1
CUS00051,Female,Nakuru,Market Branch,Single,Employed,Business,2024-01-04,2024-09-02,29,523921.07,128046.65,461.0,26,4,Mortgage,35321.89,17785.1,852.0,1,121,11.925098554533507,1.66674567433041,0.006653824992688212,4.0916421476079226,1
CUS00052,Female,Nakuru,Airport Road,Single,Self-Employed,Savings,2021-09-13,2024-10-07,23,223836.81,45402.19,617.0,18,4,Auto,40766.26,10940.22,643.11,0,86,39.61892247043364,2.8915486235355603,0.014164735225327236,4.9300883944144545,1
CUS00053,Male,Thika,Market Branch,Single,Employed,Business,2023-02-15,2023-07-24,40,420764.16,199620.54,454.0,22,2,Business,0.0,0.0,0.0,0,527,22.536136662286463,0.0,0.0,2.1078199668230533,0
CUS00054,Female,Eldoret,Westlands,Single,Employed,Savings,2021-06-11,2022-11-30,17,337822.8,47845.04,617.0,21,5,Education,0.0,0.0,0.0,0,763,42.70696452036793,0.0,0.0,7.060769517592628,0
CUS00055,Male,Mombasa,Market Branch,Married,Employed,Business,2024-02-05,2024-02-05,21,136658.16,54046.36,453.0,17,4,Auto,0.0,0.0,0.0,1,331,10.873850197109066,0.0,0.0,2.5285358717959916,0
CUS00056,Female,Nyeri,Industrial Area,Widowed,Business Owner,Business,2022-08-24,2022-08-24,29,382415.31,50333.82,594.0,18,3,Mortgage,683677.67,585371.44,41713.2,0,861,28.28515111695138,139.55740454430043,0.8287310599513408,7.597581705501391,1
CUS00057,Female,Nakuru,Airport Road,Single,Business Owner,Current,2024-07-11,2024-07-11,37,13898.32,20681.01,751.0,18,2,Personal,519601.32,509890.79,22976.92,0,174,5.716162943495401,295.8602834194268,1.1110153711061501,0.6720329422982727,1
CUS00058,Male,Eldoret,Town Centre,Single,Employed,Current,2024-06-20,2024-06-20,5,32720.2,54046.36,648.0,25,4,No Loan,1283856.83,213872.12,4723.71,0,195,6.40604467805519,47.48636984988443,0.08740107566911075,0.6054098740414711,1
CUS00059,Female,Eldoret,Airport Road,Single,Business Owner,Business,2023-01-11,2023-01-11,21,6942.29,44330.83,550.0,19,3,Education,0.0,0.0,0.0,0,721,23.68593955321945,0.0,0.0,0.15660185022477585,0
CUS00060,Male,Thika,Airport Road,Married,Employed,Savings,2024-03-28,2024-03-28,2,59029.81,112681.45,617.0,27,4,Auto,695903.29,543477.41,10707.82,1,279,9.165571616294349,57.87757363789692,0.09502735365936452,0.5238644870118373,1
CUS00061,Female,Nairobi,Westlands,Divorced,Employed,Fixed Deposit,2022-01-29,2024-06-23,23,73819.54,74324.04,621.0,19,3,No Loan,43674.68,25616.9,515.6,0,192,35.08541392904073,4.135980767460973,0.006937190174269322,0.9932121558515926,1
CUS00062,Male,Mombasa,Main Branch,Divorced,Employed,Business,2024-12-13,2024-12-13,11,47484.07,93341.69,657.0,20,2,No Loan,416540.84,164496.89,9023.22,0,19,0.6241787122207622,21.147706667835134,0.09666870184158867,0.5087123449339732,1
CUS00063,Male,Eldoret,Main Branch,Single,Employed,Current,2021-05-23,2021-05-23,15,264683.68,26539.23,617.0,31,5,Mortgage,401364.01,114401.06,3682.35,0,1319,43.331143232588694,51.727677102915194,0.13875119963917568,9.973299149975338,1
CUS00064,Male,Kisumu,CBD Branch,Married,Retired,Savings,2021-04-04,2024-09-07,23,66184.05,52535.25,667.0,22,1,Education,0.0,0.0,0.0,1,116,44.940867279894874,0.0,0.0,1.2598027038988109,0
CUS00065,Male,Kisumu,Main Branch,Widowed,Unemployed,Fixed Deposit,2024-09-16,2024-09-16,7,49470.43,3632.87,403.0,26,1,Business,0.0,0.0,0.0,1,107,3.515111695137976,0.0,0.0,13.617451216256018,0
CUS00066,Male,Nyeri,Airport Road,Single,Employed,Business,2022-04-12,2023-07-16,43,117361.06,136094.62,569.0,24,5,No Loan,2190.11,568.19,13.89,0,535,32.68725361366623,0.05009955573556105,0.0001020613452611132,0.8623490039503399,1
CUS00067,Male,Nairobi,Market Branch,Single,Self-Employed,Current,2022-08-16,2022-08-16,34,22784.72,367555.53,580.0,22,4,No Loan,0.0,0.0,0.0,0,869,28.54796320630749,0.0,0.0,0.06198987129917485,0
CUS00068,Male,Thika,Market Branch,Divorced,Employed,Joint,2021-06-13,2021-07-19,38,243072.54,41788.56,670.0,18,2,No Loan,0.0,0.0,0.0,0,1262,42.64126149802891,0.0,0.0,5.816724481532745,0
CUS00069,Male,Eldoret,Industrial Area,Single,Employed,Savings,2022-04-22,2024-09-11,41,11621.38,54046.36,621.0,29,3,No Loan,0.0,0.0,0.0,0,112,32.35873850197109,0.0,0.0,0.215026136820315,0
CUS00070,Male,Kisumu,Industrial Area,Single,Business Owner,Fixed Deposit,2021-07-26,2022-03-31,44,650121.95,14886.38,507.0,23,2,Education,0.0,0.0,0.0,0,1007,41.22864651773981,0.0,0.0,43.67226619231808,0
CUS00071,Male,Eldoret,Airport Road,Single,Retired,Current,2023-02-18,2023-02-18,6,221922.57,84565.44,541.0,21,5,No Loan,890572.07,428219.52,9708.09,0,683,22.437582128777922,60.76518066955011,0.1147997337919604,2.6242702692731217,1
CUS00072,Male,Kisumu,Town Centre,Married,Employed,Joint,2022-07-24,2022-12-01,16,33230.92,75756.35,635.0,27,4,Auto,0.0,0.0,0.0,0,762,29.303547963206306,0.0,0.0,0.43865524144180645,0
CUS00073,Male,Nyeri,Westlands,Widowed,Self-Employed,Business,2023-07-18,2023-07-18,2,830.61,124042.49,613.0,23,4,Personal,894479.73,630039.07,13857.4,0,533,17.509855453350852,60.95063747914122,0.11171494541910598,0.006696173222578811,1
CUS00074,Male,Mombasa,Market Branch,Single,Self-Employed,Savings,2024-07-25,2024-07-25,32,253484.52,23429.94,573.0,18,5,Mortgage,82772.65,24166.16,477.98,0,160,5.256241787122208,12.377066266494921,0.02040039368432015,10.818829241560158,1
CUS00075,Male,Nakuru,Westlands,Single,Employed,Fixed Deposit,2023-01-18,2023-01-18,43,184064.39,115389.2,581.0,20,2,Auto,497675.79,201639.85,6244.28,0,714,23.45597897503285,20.96971120347485,0.05411494316625819,1.5951613322563984,1
CUS00076,Male,Kisumu,Airport Road,Single,Business Owner,Current,2021-11-30,2024-01-27,47,195849.44,93176.07,675.0,22,1,Personal,7235.78,4065.14,244.44,0,340,37.056504599211564,0.5235430084140702,0.0026234203696292404,2.101928531649811,1
CUS00077,Female,Mombasa,Airport Road,Widowed,Unemployed,Business,2023-01-29,2023-12-06,38,221282.18,31184.8,578.0,18,2,Mortgage,0.0,0.0,0.0,1,392,23.0946123521682,0.0,0.0,7.095834509119827,0
CUS00078,Female,Nakuru,Market Branch,Single,Self-Employed,Current,2022-12-29,2023-02-05,28,11539.39,63082.5,612.0,19,4,No Loan,641824.11,377781.19,6384.95,1,696,24.113009198423125,71.86421400546902,0.10121586810922205,0.18292537550033686,1
CUS00079,Female,Nairobi,CBD Branch,Married,Employed,Joint,2022-03-06,2024-12-08,41,66583.9,12745.34,793.0,31,4,No Loan,378740.17,199099.43,5581.26,0,24,33.90275952693824,187.45621223129393,0.43790593267813965,5.224176051796185,1
CUS00080,Male,Nakuru,Westlands,Single,Employed,Business,2024-10-04,2024-10-04,9,18472.52,48200.85,506.0,17,5,Auto,655763.11,327118.93,26009.32,0,89,2.923784494086728,81.43896134611734,0.5396029323134344,0.3832405445132192,1
CUS00081,Male,Mombasa,Main Branch,Married,Business Owner,Current,2022-07-01,2022-07-01,25,298279.44,170423.32,471.0,28,2,Business,49536.88,27167.91,469.56,0,915,30.059132720105122,1.9129712999371211,0.0027552567336441985,1.7502266708570164,1
CUS00082,Female,Thika,Town Centre,Divorced,Employed,Savings,2024-12-08,2024-12-08,26,146445.18,43742.67,682.0,35,1,Personal,376083.37,184625.48,5143.71,0,24,0.7884362680683311,50.64861747122433,0.11759021568642244,3.347879313265514,1
CUS00083,Female,Kisumu,Market Branch,Single,Employed,Savings,2024-10-31,2024-10-31,45,60272.82,146390.16,565.0,18,2,Personal,172144.9,101082.98,1938.65,0,62,2.0367936925098555,8.286047094968678,0.013243034914368563,0.41172726363575257,1
CUS00084,Male,Nyeri,Market Branch,Single,Employed,Fixed Deposit,2024-08-20,2024-08-20,26,9850.21,71377.3,594.0,16,4,Education,1798961.43,1617602.32,42206.41,1,134,4.402102496714849,271.9523971907035,0.5913141853222244,0.13800199783404526,1
CUS00085,Female,Thika,Town Centre,Widowed,Retired,Savings,2021-05-27,2023-04-19,5,55873.25,17043.25,557.0,27,2,Business,0.0,0.0,0.0,1,623,43.19973718791064,0.0,0.0,3.278321329558623,0
CUS00086,Male,Nyeri,Main Branch,Single,Employed,Savings,2024-06-01,2024-06-01,17,58997.13,69611.04,599.0,22,4,No Loan,0.0,0.0,0.0,0,214,7.030223390275952,0.0,0.0,0.847525478717169,0
CUS00087,Male,Nairobi,Westlands,Single,Employed,Fixed Deposit,2024-07-24,2024-07-24,26,196181.37,56414.88,747.0,13,4,No Loan,1357142.06,865496.75,14455.01,1,161,5.289093298291721,184.09967370310812,0.2562269032567294,3.477475623452536,1
CUS00088,Male,Eldoret,Market Branch,Divorced,Retired,Business,2021-12-17,2024-06-05,26,152233.4,40685.1,684.0,22,3,Mortgage,212969.11,144545.52,10575.92,0,210,36.498028909329825,42.63345155843294,0.25994577867573143,3.7417482075747635,1
CUS00089,Male,Nyeri,Industrial Area,Single,Employed,Current,2023-12-30,2023-12-30,43,327337.79,10193.08,688.0,22,1,No Loan,0.0,0.0,0.0,0,368,12.089356110381077,0.0,0.0,32.11372715607059,0
CUS00090,Male,Thika,Airport Road,Single,Employed,Business,2022-05-17,2022-05-17,9,95859.92,36662745.08,506.0,15,5,Education,196697.79,24425.91,1048.18,0,960,31.537450722733244,0.007994789243424541,2.8589785017810786e-05,0.0026146410965907957,1
CUS00091,Female,Nairobi,Town Centre,Single,Unemployed,Current,2021-12-01,2021-12-01,23,19105.86,6043.63,527.0,26,1,Business,659872.78,659634.27,21343.53,0,1127,37.023653088042046,1309.7445144722626,3.531574566940729,3.161321920766162,1
CUS00092,Male,Nakuru,CBD Branch,Divorced,Employed,Savings,2023-08-05,2023-08-05,24,187368.95,8319.5,392.0,17,2,No Loan,666693.32,86835.68,2905.17,0,515,16.918528252299605,125.2512963519442,0.34920007211971876,22.521659955526175,1
CUS00093,Male,Mombasa,CBD Branch,Widowed,Retired,Joint,2023-02-17,2023-02-17,41,214558.91,43016.91,555.0,26,3,Auto,9260.16,4219.24,76.52,1,684,22.470433639947437,1.1769994636992753,0.0017788353463789005,4.987780619295993,1
CUS00094,Female,Nairobi,Town Centre,Widowed,Employed,Fixed Deposit,2022-07-07,2023-07-26,9,123583.12,29151.4,696.0,22,4,No Loan,223972.13,43585.9,1203.52,0,525,29.86202365308804,17.9418758618797,0.041285152685634305,4.239354542148919,1
CUS00095,Female,Nairobi,Market Branch,Single,Retired,Business,2024-08-03,2024-08-03,10,221083.5,54046.36,661.0,30,1,Personal,9811.98,1837.15,54.9,0,151,4.9605781865965834,0.4079053612491202,0.0010157945882016846,4.090627009848582,1
CUS00096,Female,Kisumu,CBD Branch,Single,Employed,Current,2024-11-10,2024-11-10,6,102122.21,37690.68,602.0,16,4,Education,2920147.89,2377509.24,46376.66,0,52,1.7082785808147174,756.9539971154674,1.2304543192110093,2.7094817604776567,1
CUS00097,Female,Nakuru,Main Branch,Single,Employed,Joint,2024-02-15,2024-02-15,4,110951.83,113458.52,618.0,18,4,No Loan,65166.41,31497.09,2195.3,0,321,10.545335085413928,3.3313062782768537,0.01934892152656319,0.9779065512224203,1
CUS00098,Female,Kisumu,Market Branch,Single,Retired,Current,2022-03-26,2023-04-29,1,83672.13,60443.95,564.0,20,3,Personal,0.0,0.0,0.0,1,613,33.24572930354796,0.0,0.0,1.384292886219382,0
CUS00099,Female,Thika,Town Centre,Single,Employed,Fixed Deposit,2024-11-03,2024-11-03,6,3862.17,97414.82,636.0,15,1,Business,781650.01,270066.19,20708.91,0,59,1.938239159001314,33.267979964444834,0.2125847997255448,0.03964663692854947,1
CUS00100,Male,Nyeri,Industrial Area,Widowed,Unemployed,Business,2022-10-27,2024-07-20,38,17125.12,24100.95,681.0,30,3,Personal,0.0,0.0,0.0,1,165,26.182654402102497,0.0,0.0,0.7105578825730935,0
CUS00101,Male,Nyeri,Industrial Area,Married,Employed,Fixed Deposit,2021-04-25,2024-10-08,29,4790.05,227654.02,490.0,21,4,Education,0.0,0.0,0.0,0,85,44.250985545335084,0.0,0.0,0.021040919901172843,0
CUS00102,Female,Kisumu,Town Centre,Single,Unemployed,Business,2022-04-15,2024-04-20,44,151759.43,60416.87,617.0,16,1,Auto,467518.63,306005.47,5661.62,0,256,32.58869908015769,60.77881293751231,0.09370925703367287,2.511871766941915,1
CUS00103,Male,Nakuru,CBD Branch,Married,Unemployed,Fixed Deposit,2021-03-07,2021-09-10,3,56609.51,142382.08,694.0,19,4,Education,87298.59,72763.33,2025.17,0,1209,45.86070959264126,6.132513024110899,0.014223489360458846,0.39758872745783747,1
CUS00104,Male,Nairobi,Airport Road,Married,Employed,Business,2022-10-09,2023-07-12,45,106565.58,36336.18,586.0,21,4,Mortgage,753791.55,382198.63,16876.09,0,539,26.773981603153743,126.22085095351244,0.4644431528025236,2.9327678363548397,1
CUS00105,Male,Mombasa,Airport Road,Single,Self-Employed,Savings,2023-04-02,2023-07-26,24,357189.83,8447.63,676.0,18,1,Personal,0.0,0.0,0.0,0,525,21.02496714848883,0.0,0.0,42.28284501096758,0
CUS00106,Male,Mombasa,Town Centre,Married,Employed,Business,2022-07-03,2024-09-10,42,43010.82,89597.9,845.0,33,5,Education,118509.1,115691.14,4427.94,0,113,29.993429697766096,15.494712264461556,0.04942013149861771,0.48004272421563454,1
CUS00107,Female,Nakuru,Airport Road,Married,Unemployed,Savings,2021-05-16,2024-04-21,9,79242.3,623.19,611.0,28,3,Education,408549.44,83784.76,1472.15,0,255,43.56110381077529,1613.3396235497999,2.3622811662574814,127.15592355461416,1
CUS00108,Female,Nakuru,CBD Branch,Married,Employed,Joint,2022-03-09,2023-10-30,17,211312.37,51593.22,651.0,33,2,Auto,264082.23,142068.16,5914.49,0,429,33.8042049934297,33.043448732217136,0.1146369619884163,4.095739130063989,1
CUS00109,Female,Mombasa,Airport Road,Single,Self-Employed,Business,2024-03-07,2024-03-07,43,38970.77,17134.89,560.0,21,4,Personal,0.0,0.0,0.0,1,300,9.85545335085414,0.0,0.0,2.274351921722287,0
CUS00110,Male,Nyeri,Westlands,Divorced,Self-Employed,Current,2022-10-07,2023-10-19,38,12015.64,78974.73,634.0,21,3,No Loan,1060393.08,199686.8,5596.67,0,440,26.839684625492772,30.341877712022566,0.0708665923897429,0.15214537612221024,1
